Year,GeoAreaName,Value
2021,Croatia,NaN
2021,Cyprus,NaN
2021,Czechia,NaN
2021,Denmark,97
2021,Estonia,NaN
2021,Finland,NaN
2020,France,98
2021,Georgia,96
2021,Germany,NaN
2020,Greece,100
2021,Hungary,100
2021,Iceland,NaN
2021,Ireland,NaN
2021,Italy,NaN
2021,Kazakhstan,NaN
2021,Kyrgyzstan,NaN
2021,Latvia,NaN
2020,Liechtenstein,90
2021,Lithuania,NaN
2021,Luxembourg,NaN
2021,Malta,NaN
2021,Republic of Moldova,NaN
2021,Montenegro,NaN
2021,Netherlands,NaN
2018,Norway,93
2020,Poland,99
2021,Portugal,NaN
2021,Romania,NaN
2021,Serbia,NaN
2021,Slovakia,NaN
2021,Slovenia,NaN
2020,Spain,99
2021,Sweden,NaN
2021,Switzerland,99
2021,Tajikistan,NaN
2021,Türkiye,NaN
2021,Turkmenistan,NaN
2020,Ukraine,55
2021,North Macedonia,NaN
2020,Uzbekistan,97
2021,Albania,NaN
2021,Azerbaijan,NaN
2021,Austria,NaN
2021,Armenia,NaN
2021,Belgium,NaN
2021,Bosnia and Herzegovina,NaN
2020,Bulgaria,100
2021,Belarus,96
2021,Belarus,96
