Year,GeoAreaName,Type of product,Value
2017,Azerbaijan,MIL,NaN
2017,Azerbaijan,SOR,NaN
2018,Azerbaijan,SOR,NaN
2018,Azerbaijan,MAZ,NaN
2018,Azerbaijan,RIC,NaN
2018,Azerbaijan,WHE,-0.3
2018,Azerbaijan,MIL,NaN
2019,Azerbaijan,MIL,NaN
2019,Azerbaijan,WHE,0.3
2019,Azerbaijan,SOR,NaN
2019,Azerbaijan,MAZ,NaN
2019,Azerbaijan,RIC,NaN
2020,Azerbaijan,MAZ,NaN
2020,Azerbaijan,RIC,NaN
2020,Azerbaijan,WHE,-0.48
2020,Azerbaijan,SOR,NaN
2020,Azerbaijan,MIL,NaN
2021,Azerbaijan,WHE,0.11
2021,Azerbaijan,MAZ,NaN
2021,Azerbaijan,RIC,NaN
2021,Azerbaijan,MIL,NaN
2021,Azerbaijan,SOR,NaN
2022,Azerbaijan,MAZ,NaN
2022,Azerbaijan,RIC,NaN
2022,Azerbaijan,WHE,0.15
2022,Azerbaijan,SOR,NaN
2022,Azerbaijan,MIL,NaN
2015,Austria,MIL,NaN
2015,Austria,RIC,NaN
2015,Austria,SOR,NaN
2015,Austria,WHE,NaN
2015,Austria,MAZ,NaN
2016,Austria,MAZ,NaN
2016,Austria,MIL,NaN
2016,Austria,WHE,NaN
2016,Austria,RIC,NaN
2016,Austria,SOR,NaN
2017,Austria,SOR,NaN
2017,Austria,MIL,NaN
2017,Austria,RIC,NaN
2017,Austria,WHE,NaN
2017,Austria,MAZ,NaN
2018,Austria,SOR,NaN
2018,Austria,RIC,NaN
2018,Austria,WHE,NaN
2018,Austria,MIL,NaN
2018,Austria,MAZ,NaN
2018,Germany,WHE,NaN
2018,Germany,SOR,NaN
2018,Germany,RIC,NaN
2018,Germany,MAZ,NaN
2018,Germany,MIL,NaN
2019,Germany,RIC,NaN
2019,Germany,MAZ,NaN
2019,Germany,SOR,NaN
2019,Germany,WHE,NaN
2019,Germany,MIL,NaN
2020,Germany,MIL,NaN
2020,Germany,WHE,NaN
2020,Germany,MAZ,NaN
2019,Austria,MAZ,NaN
2019,Austria,SOR,NaN
2019,Austria,WHE,NaN
2019,Austria,RIC,NaN
2019,Austria,MIL,NaN
2020,Austria,MAZ,NaN
2020,Austria,WHE,NaN
2020,Austria,SOR,NaN
2020,Austria,MIL,NaN
2020,Austria,RIC,NaN
2021,Austria,RIC,NaN
2021,Austria,MIL,NaN
2021,Austria,SOR,NaN
2020,Germany,RIC,NaN
2020,Germany,SOR,NaN
2021,Germany,RIC,NaN
2021,Germany,MAZ,NaN
2021,Germany,WHE,NaN
2021,Germany,SOR,NaN
2021,Germany,MIL,NaN
2022,Germany,MIL,NaN
2022,Germany,MAZ,NaN
2022,Germany,SOR,NaN
2022,Germany,WHE,NaN
2022,Germany,RIC,NaN
2015,Greece,RIC,NaN
2015,Albania,RIC,NaN
2015,Albania,MAZ,NaN
2015,Albania,MIL,NaN
2015,Albania,WHE,NaN
2015,Albania,SOR,NaN
2016,Albania,WHE,NaN
2016,Albania,MIL,NaN
2016,Albania,SOR,NaN
2016,Albania,MAZ,NaN
2016,Albania,RIC,NaN
2017,Albania,RIC,NaN
2017,Albania,MAZ,NaN
2017,Albania,SOR,NaN
2021,Austria,MAZ,NaN
2021,Austria,WHE,NaN
2022,Austria,WHE,NaN
2022,Austria,RIC,NaN
2022,Austria,MAZ,NaN
2022,Austria,MIL,NaN
2022,Austria,SOR,NaN
2015,Armenia,RIC,NaN
2015,Armenia,SOR,NaN
2015,Armenia,WHE,-0.4
2015,Armenia,MAZ,NaN
2015,Armenia,MIL,NaN
2015,Greece,SOR,NaN
2015,Greece,WHE,NaN
2015,Greece,MIL,NaN
2015,Greece,MAZ,NaN
2016,Greece,WHE,NaN
2016,Greece,RIC,NaN
2016,Greece,SOR,NaN
2016,Greece,MIL,NaN
2016,Greece,MAZ,NaN
2017,Greece,MIL,NaN
2017,Greece,SOR,NaN
2017,Greece,MAZ,NaN
2017,Greece,RIC,NaN
2016,Armenia,WHE,-0.5
2016,Armenia,MIL,NaN
2016,Armenia,SOR,NaN
2016,Armenia,MAZ,NaN
2016,Armenia,RIC,NaN
2017,Armenia,RIC,NaN
2017,Armenia,SOR,NaN
2017,Armenia,WHE,0
2017,Armenia,MAZ,NaN
2017,Armenia,MIL,NaN
2018,Armenia,WHE,-0.6
2017,Greece,WHE,NaN
2018,Greece,WHE,NaN
2018,Greece,MAZ,NaN
2018,Greece,MIL,NaN
2018,Greece,SOR,NaN
2018,Greece,RIC,NaN
2019,Greece,SOR,NaN
2019,Greece,RIC,NaN
2019,Greece,MAZ,NaN
2019,Greece,MIL,NaN
2019,Greece,WHE,NaN
2020,Greece,WHE,NaN
2020,Greece,MIL,NaN
2018,Armenia,MAZ,NaN
2018,Armenia,RIC,NaN
2018,Armenia,SOR,NaN
2018,Armenia,MIL,NaN
2019,Armenia,MIL,NaN
2019,Armenia,RIC,NaN
2019,Armenia,SOR,NaN
2019,Armenia,MAZ,NaN
2019,Armenia,WHE,0.3
2020,Armenia,MAZ,NaN
2020,Armenia,WHE,0.49
2020,Armenia,RIC,NaN
2015,Norway,RIC,NaN
2015,Norway,WHE,NaN
