Year,GeoAreaName,Age,Value
2000,Azerbaijan,,8.10078
2001,Azerbaijan,,5.53322
2002,Azerbaijan,,2.62259
2003,Azerbaijan,,2.46618
2004,Azerbaijan,,1.96147
2005,Azerbaijan,,1.21551
2006,Azerbaijan,,0.69955
2007,Azerbaijan,,0.52889
2008,Azerbaijan,,0.34784
2009,Azerbaijan,,0.37187
2010,Azerbaijan,,0.23534
2011,Azerbaijan,,0.01858
2012,Azerbaijan,,0.01375
2013,Azerbaijan,,0
2014,Azerbaijan,,0
2015,Azerbaijan,,0
2016,Azerbaijan,,0
2017,Azerbaijan,,0
2018,Azerbaijan,,0
2019,Azerbaijan,,0
2020,Azerbaijan,,0
2021,Azerbaijan,,0
2000,Armenia,,0.0445
2001,Armenia,,0.02521
2002,Armenia,,0.01675
2003,Armenia,,0.0094
2004,Armenia,,0.01533
2005,Armenia,,0.0023
2006,Armenia,,0
2007,Armenia,,0
2008,Armenia,,0
2009,Armenia,,0
2010,Armenia,,0
2011,Armenia,,0
2012,Armenia,,0
2013,Armenia,,0
2014,Armenia,,0
2015,Armenia,,0
2016,Armenia,,0
2017,Armenia,,0
2018,Armenia,,0
2019,Armenia,,0
2020,Armenia,,0
2021,Armenia,,0
2000,Georgia,,5.7443
2001,Georgia,,10.56848
2002,Georgia,,11.67171
2003,Georgia,,7.865
2004,Georgia,,6.44304
2005,Georgia,,3.91305
2006,Georgia,,1.49982
2007,Georgia,,0.61438
2008,Georgia,,0.15466
2009,Georgia,,0.02594
2010,Georgia,,0
2011,Georgia,,0
2012,Georgia,,0
2013,Georgia,,0
2014,Georgia,,0
2015,Georgia,,0
2016,Georgia,,0
2017,Georgia,,0
2018,Georgia,,0
2019,Georgia,,0
2020,Georgia,,0
2021,Georgia,,0
2000,Kazakhstan,,0
2001,Kazakhstan,,0
2002,Kazakhstan,,0
2003,Kazakhstan,,0
2004,Kazakhstan,,0
2005,Kazakhstan,,0
2006,Kazakhstan,,0
2007,Kazakhstan,,0
2008,Kazakhstan,,0
2009,Kazakhstan,,0
2010,Kazakhstan,,0
2011,Kazakhstan,,0
2012,Kazakhstan,,0
2013,Kazakhstan,,0
2014,Kazakhstan,,0
2015,Kazakhstan,,0
2016,Kazakhstan,,0
2017,Kazakhstan,,0
2018,Kazakhstan,,0
2019,Kazakhstan,,0
2020,Kazakhstan,,0
2021,Kazakhstan,,0
2000,Kyrgyzstan,,0.00182
2001,Kyrgyzstan,,0.00386
2002,Kyrgyzstan,,0.69501
2003,Kyrgyzstan,,0.11638
2004,Kyrgyzstan,,0.02271
2005,Kyrgyzstan,,0.05555
2006,Kyrgyzstan,,0.0777
2007,Kyrgyzstan,,0.02325
2008,Kyrgyzstan,,0.00432
2009,Kyrgyzstan,,0.00024
2010,Kyrgyzstan,,0.0007
2011,Kyrgyzstan,,0
2012,Kyrgyzstan,,0
2013,Kyrgyzstan,,0
2014,Kyrgyzstan,,0
2015,Kyrgyzstan,,0
2016,Kyrgyzstan,,0
2017,Kyrgyzstan,,0
2018,Kyrgyzstan,,0
2019,Kyrgyzstan,,0
2020,Kyrgyzstan,,0
2021,Kyrgyzstan,,0
2000,Tajikistan,,9.09898
2001,Tajikistan,,5.31968
2002,Tajikistan,,2.81929
2003,Tajikistan,,2.4356
2004,Tajikistan,,1.5795
2005,Tajikistan,,0.9977
2006,Tajikistan,,0.57017
2007,Tajikistan,,0.26448
2008,Tajikistan,,0.12999
2009,Tajikistan,,0.06574
2010,Tajikistan,,0.044
2011,Tajikistan,,0.03
2012,Tajikistan,,0.01054
2013,Tajikistan,,0.00147
2014,Tajikistan,,0.00072
2015,Tajikistan,,0
2016,Tajikistan,,0
2017,Tajikistan,,0
2018,Tajikistan,,0
2019,Tajikistan,,0
2020,Tajikistan,,0
2021,Tajikistan,,0
2000,Türkiye,,2.74321
2001,Türkiye,,2.55622
2002,Türkiye,,2.38363
2003,Türkiye,,2.12177
2004,Türkiye,,1.20335
2005,Türkiye,,0.46666
2006,Türkiye,,0.17595
2007,Türkiye,,0.06833
2008,Türkiye,,0.03581
2009,Türkiye,,0.00809
2010,Türkiye,,0
2011,Türkiye,,0
2012,Türkiye,,0
2013,Türkiye,,0
2014,Türkiye,,0
2015,Türkiye,,0
2016,Türkiye,,0
2017,Türkiye,,0
2018,Türkiye,,0
2019,Türkiye,,0
2020,Türkiye,,0
2021,Türkiye,,0
2000,Turkmenistan,,0.08081
2001,Turkmenistan,,0.02655
2002,Turkmenistan,,0.05893
2003,Turkmenistan,,0.02263
2004,Turkmenistan,,0.00958
2005,Turkmenistan,,0.00315
2006,Turkmenistan,,0.00311
2007,Turkmenistan,,0
2008,Turkmenistan,,0
2009,Turkmenistan,,0
2010,Turkmenistan,,0
2011,Turkmenistan,,0
2012,Turkmenistan,,0
2013,Turkmenistan,,0
2014,Turkmenistan,,0
2015,Turkmenistan,,0
2016,Turkmenistan,,0
2017,Turkmenistan,,0
2018,Turkmenistan,,0
2019,Turkmenistan,,0
2020,Turkmenistan,,0
2021,Turkmenistan,,0
2000,Uzbekistan,,5.05517
2001,Uzbekistan,,3.04975
2002,Uzbekistan,,2.893
2003,Uzbekistan,,2.85659
2004,Uzbekistan,,2.51582
2005,Uzbekistan,,3.83848
2006,Uzbekistan,,2.71113
2007,Uzbekistan,,1.09854
2008,Uzbekistan,,0.25247
2009,Uzbekistan,,0
2010,Uzbekistan,,0.10484
2011,Uzbekistan,,0
2012,Uzbekistan,,0
2013,Uzbekistan,,0
2014,Uzbekistan,,0
2015,Uzbekistan,,0
2016,Uzbekistan,,0
2017,Uzbekistan,,0
2018,Uzbekistan,,0
2019,Uzbekistan,,0
2020,Uzbekistan,,0
2021,Uzbekistan,,0
2021,Uzbekistan,,0
