Year,GeoAreaName,Value
2005,Bulgaria,6933
2006,Bulgaria,547
2007,Bulgaria,559
2008,Bulgaria,7
2009,Bulgaria,63
2010,Bulgaria,944
2011,Bulgaria,0
2012,Bulgaria,8640
2013,Bulgaria,0
2014,Bulgaria,5135
2015,Bulgaria,1482
2016,Bulgaria,2195
2017,Bulgaria,6675
2018,Bulgaria,621
2019,Bulgaria,432
2020,Bulgaria,9
2021,Bulgaria,447
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2005,Albania,8867
2006,Albania,975
2007,Albania,226
2008,Albania,243
2009,Albania,7767
2010,Albania,42221
2011,Albania,692
2012,Albania,1652
2013,Albania,4801
2014,Albania,4054
2015,Albania,1091
2016,Albania,699
2017,Albania,5
2018,Albania,4683
2019,Albania,1453
2020,Albania,149
2005,Austria,111
2006,Austria,61
2007,Austria,109
2008,Austria,152
2009,Austria,119
2019,Belarus,0
2020,Belarus,0
2021,Belarus,0
2017,Croatia,7530
2005,Cyprus,29
2006,Cyprus,17
2007,Cyprus,147
2008,Cyprus,22
2009,Cyprus,1186
2010,Cyprus,306
2011,Cyprus,467
2012,Cyprus,9
2013,Cyprus,2
2014,Cyprus,1314
2015,Cyprus,88
2016,Cyprus,10
2018,Cyprus,935
2021,Cyprus,1
2015,Czechia,0
2016,Czechia,0
2017,Czechia,31001
2015,Denmark,0
2016,Denmark,0
2017,Denmark,0
2018,Denmark,0
2019,Denmark,0
2020,Denmark,167352
2005,Estonia,1863
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,600
2011,Estonia,0
2012,Estonia,0
2010,Austria,65
2011,Austria,57
2012,Austria,58
2013,Austria,583
2014,Austria,30
2015,Austria,196
2016,Austria,60
2017,Austria,271
2018,Austria,6630
2019,Austria,11596
2020,Austria,9088
2005,Armenia,3684
2006,Armenia,5405
2007,Armenia,7296
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2005,Finland,611
2008,Armenia,7304
2009,Armenia,6623
2010,Armenia,7641
2011,Armenia,1407
2012,Armenia,3475
2013,Armenia,9954
2014,Armenia,3755
2006,Finland,454
2007,Finland,326
2008,Finland,452
2009,Finland,339
2010,Finland,325
2011,Finland,231
2012,Finland,401
2015,Armenia,11071
2016,Armenia,9228
2017,Armenia,13552
2018,Armenia,12542
2019,Armenia,13135
2020,Armenia,169952
2021,Armenia,192401
2013,Finland,246
2014,Finland,277
2015,Finland,208
2016,Finland,268
2017,Finland,275
2018,Finland,306
2019,Finland,68
2016,France,4367
2017,France,11611
2018,France,8526
2005,Georgia,67
2006,Georgia,108
2007,Georgia,68
2008,Georgia,107
2009,Georgia,111
2010,Georgia,79
2011,Georgia,85
2012,Georgia,107
2013,Georgia,150
2014,Georgia,174
2015,Georgia,4251
2016,Georgia,714
2017,Georgia,103
2018,Georgia,198
2019,Georgia,4759
2020,Georgia,227492
2021,Georgia,712286
2020,Hungary,0
2021,Hungary,0
2015,Ireland,0
2016,Ireland,2099
2017,Ireland,0
2018,Italy,80
2019,Italy,68
2005,Kazakhstan,496
2006,Kazakhstan,0
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,0
2010,Kazakhstan,0
2011,Kazakhstan,1516
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,3
2015,Kazakhstan,4
2016,Kazakhstan,4788
2017,Kazakhstan,22519
2018,Kazakhstan,15743
2019,Kazakhstan,354
2020,Kazakhstan,154115
2021,Kazakhstan,939
2005,Kyrgyzstan,10531
2006,Kyrgyzstan,5724
2007,Kyrgyzstan,8178
2008,Kyrgyzstan,17327
